item,choice1,choice2,choice3,choice4,corrAns,givenAns,rt,correct,cond,filename,natural,production,displayOrder,date,hour,min,n,subject,target,expectedprefix,response,vowel_correct,expectedanswer,expectedstem,consonant_correct
guce,muhuce,mahuce,muguce,maguce,1,1,17.929733685001338,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,1,2019-05-22,13,28,54,22,target,mu,muhuce,1,muhuce,huce,1
dewo,musewo,madewo,masewo,mudewo,3,2,7.999121189001016,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,2,2019-05-22,13,28,54,22,target,ma,madewo,1,masewo,sewo,0
dumu,mudumu,madumu,musumu,masumu,3,3,2.9080495150010393,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,3,2019-05-22,13,28,54,22,target,mu,musumu,1,musumu,sumu,1
boze,muboze,mafoze,mufoze,maboze,2,2,8.948140457998306,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,4,2019-05-22,13,28,54,22,target,ma,mafoze,1,mafoze,foze,1
duwa,maduwa,muduwa,musuwa,masuwa,3,3,3.884070072999748,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,5,2019-05-22,13,28,54,22,target,mu,musuwa,1,musuwa,suwa,1
gewu,mahewu,magewu,mugewu,muhewu,1,2,8.954035881999516,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,6,2019-05-22,13,28,54,22,target,ma,magewu,1,mahewu,hewu,0
deyu,mudeyu,museyu,maseyu,madeyu,3,3,12.08578696099903,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,7,2019-05-22,13,28,54,22,target,ma,maseyu,1,maseyu,seyu,1
liya,muyiya,muliya,maliya,mayiya,3,3,1.634821921999901,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,8,2019-05-22,13,28,54,22,filler,ma,maliya,1,maliya,liya,1
gemi,mahemi,muhemi,magemi,mugemi,1,3,9.29947660200014,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,9,2019-05-22,13,28,54,22,target,ma,magemi,1,mahemi,hemi,0
dule,masule,madule,musule,mudule,3,3,5.4507034920006845,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,10,2019-05-22,13,28,54,22,target,mu,musule,1,musule,sule,1
galu,mahalu,muhalu,magalu,mugalu,1,3,9.598806325000623,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,11,2019-05-22,13,28,54,22,target,ma,magalu,1,mahalu,halu,0
geza,maheza,muheza,mugeza,mageza,1,4,4.849073084000338,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,12,2019-05-22,13,28,54,22,target,ma,mageza,1,maheza,heza,0
gamo,mahamo,mugamo,magamo,muhamo,1,3,8.78522764400077,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,13,2019-05-22,13,28,54,22,target,ma,magamo,1,mahamo,hamo,0
baca,mubaca,mafaca,mufaca,mabaca,2,2,7.569408817998919,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,14,2019-05-22,13,28,54,22,target,ma,mafaca,1,mafaca,faca,1
zawo,muzawo,macawo,mucawo,mazawo,4,4,3.6227745169999253,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,15,2019-05-22,13,28,54,22,filler,ma,mazawo,1,mazawo,zawo,1
ceya,mazeya,muzeya,muceya,maceya,4,4,7.233419731999675,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,16,2019-05-22,13,28,54,22,filler,ma,maceya,1,maceya,ceya,1
cuyu,mazuyu,muzuyu,macuyu,mucuyu,4,1,20.82714226400094,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,17,2019-05-22,13,28,54,22,filler,mu,mazuyu,0,mucuyu,cuyu,0
bayu,mubayu,mafayu,mufayu,mabayu,2,2,3.7669366800000716,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,18,2019-05-22,13,28,54,22,target,ma,mafayu,1,mafayu,fayu,1
gaya,mahaya,magaya,mugaya,muhaya,1,2,3.3867705240008945,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,19,2019-05-22,13,28,54,22,target,ma,magaya,1,mahaya,haya,0
yuwo,mayuwo,maluwo,muluwo,muyuwo,4,1,13.515703132001363,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,20,2019-05-22,13,28,54,22,filler,mu,mayuwo,0,muyuwo,yuwo,1
guli,maguli,muhuli,mahuli,muguli,2,4,4.884441374999369,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,21,2019-05-22,13,28,54,22,target,mu,muguli,1,muhuli,huli,0
yazu,malazu,mulazu,muyazu,mayazu,4,4,2.067364529999395,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,22,2019-05-22,13,28,54,22,filler,ma,mayazu,1,mayazu,yazu,1
zewo,macewo,muzewo,mucewo,mazewo,4,4,4.001878929999293,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,23,2019-05-22,13,28,54,22,filler,ma,mazewo,1,mazewo,zewo,1
gume,magume,muhume,mugume,mahume,2,3,12.414607544000319,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,24,2019-05-22,13,28,54,22,target,mu,mugume,1,muhume,hume,0
yuca,maluca,muluca,mayuca,muyuca,4,3,5.256723687998601,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,25,2019-05-22,13,28,54,22,filler,mu,mayuca,0,muyuca,yuca,1
gami,mahami,muhami,mugami,magami,1,4,3.1675918720029586,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,26,2019-05-22,13,28,54,22,target,ma,magami,1,mahami,hami,0
cuya,muzuya,macuya,mazuya,mucuya,4,4,2.552957392999815,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,27,2019-05-22,13,28,54,22,filler,mu,mucuya,1,mucuya,cuya,1
gace,mahace,magace,mugace,muhace,1,2,4.450543400002061,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,28,2019-05-22,13,28,54,22,target,ma,magace,1,mahace,hace,0
yecu,muyecu,malecu,mulecu,mayecu,4,4,5.519806975000392,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,29,2019-05-22,13,28,54,22,filler,ma,mayecu,1,mayecu,yecu,1
bazu,mabazu,mafazu,mufazu,mubazu,2,2,5.942670974000066,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,30,2019-05-22,13,28,54,22,target,ma,mafazu,1,mafazu,fazu,1
dewa,mufawa,mudewa,mafawa,madewa,3,4,7.7992153619998135,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,31,2019-05-22,13,28,54,22,target,ma,madewa,1,mafawa,fawa,0
gazu,mahazu,mugazu,magazu,muhazu,1,3,2.3514891419981723,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,32,2019-05-22,13,28,54,22,target,ma,magazu,1,mahazu,hazu,0
geye,maheye,muheye,mageye,mugeye,1,3,14.234841845998744,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,33,2019-05-22,13,28,54,22,target,ma,mageye,1,maheye,heye,0
dezu,musezu,madezu,masezu,musezu,3,3,13.98703223800112,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,34,2019-05-22,13,28,54,22,target,ma,masezu,1,masezu,sezu,1
yani,malani,muyani,mulani,mayani,4,4,2.4939505330003158,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,35,2019-05-22,13,28,54,22,filler,ma,mayani,1,mayani,yani,1
zeyu,muzeyu,muceyu,maceyu,mazeyu,4,4,6.618835499000852,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,36,2019-05-22,13,28,54,22,filler,ma,mazeyu,1,mazeyu,zeyu,1
dume,madume,masume,musume,mudume,3,3,7.656899835001241,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,37,2019-05-22,13,28,54,22,target,mu,musume,1,musume,sume,1
lawo,muyawo,mayawo,malawo,mulawo,3,3,3.2488783939988934,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,38,2019-05-22,13,28,54,22,filler,ma,malawo,1,malawo,lawo,1
ceyu,mazeyu,muceyu,muzeyu,maceyu,4,1,12.499064462001115,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,39,2019-05-22,13,28,54,22,filler,ma,mazeyu,1,maceyu,ceyu,0
buze,mafuze,mufuze,mabuze,mubuze,2,2,4.899003121001442,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,40,2019-05-22,13,28,54,22,target,mu,mufuze,1,mufuze,fuze,1
buna,mubuna,mufuna,mabuna,mafuna,2,2,8.350367945000471,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,41,2019-05-22,13,28,54,22,target,mu,mufuna,1,mufuna,funa,1
demi,mudemi,musemi,masemi,mademi,3,3,7.065671330001351,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,42,2019-05-22,13,28,54,22,target,ma,masemi,1,masemi,semi,1
zuyu,mazuyu,mucuyu,macuyu,muzuyu,4,2,5.866337169998587,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,43,2019-05-22,13,28,54,22,filler,mu,mucuyu,1,muzuyu,zuyu,0
bome,mubome,mafome,mufome,mubayu,2,2,10.049018678997527,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,44,2019-05-22,13,28,54,22,target,ma,mafome,1,mafome,fome,1
leya,muleya,mayeya,maleya,muyeya,3,3,2.118377283997688,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,45,2019-05-22,13,28,54,22,filler,ma,maleya,1,maleya,leya,1
gecu,mahecu,mugecu,muhecu,magecu,1,4,3.9401954950008076,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,46,2019-05-22,13,28,54,22,target,ma,magecu,1,mahecu,hecu,0
gumo,mugumo,muhumo,mahumo,mahumo,2,1,3.9008880690016667,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,47,2019-05-22,13,28,54,22,target,mu,mugumo,1,muhumo,humo,0
luwo,mayuwo,muyuwo,muluwo,maluwo,3,4,3.4569444930020836,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,48,2019-05-22,13,28,54,22,filler,mu,maluwo,0,muluwo,luwo,1
bonu,mabonu,mafonu,mubonu,mufonu,2,2,9.48260891300015,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,49,2019-05-22,13,28,54,22,target,ma,mafonu,1,mafonu,fonu,1
caya,mucaya,muzaya,macaya,mazaya,3,4,13.983442815999297,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,50,2019-05-22,13,28,54,22,filler,ma,mazaya,1,macaya,caya,0
gunu,magunu,muhunu,mahunu,mugunu,2,4,4.383850825000991,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,51,2019-05-22,13,28,54,22,target,mu,mugunu,1,muhunu,hunu,0
gece,mahece,mugece,muhece,magece,1,4,10.749283460001607,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,52,2019-05-22,13,28,54,22,target,ma,magece,1,mahece,hece,0
buma,mafuma,mufuma,mabuma,mubuma,2,2,2.8543676000008418,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,53,2019-05-22,13,28,54,22,target,mu,mufuma,1,mufuma,fuma,1
guwu,mahuwu,muhuwu,maguwu,muguwu,2,4,8.982976444000087,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,54,2019-05-22,13,28,54,22,target,mu,muguwu,1,muhuwu,huwu,0
yuca,maluca,muluca,mayuca,muyuca,4,4,8.150056037004106,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,1,2019-05-23,15,30,54,30,filler,mu,muyuca,1,muyuca,yuca,1
dume,madume,masume,musume,mudume,3,2,9.5322028860100545,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,2,2019-05-23,15,30,54,30,target,mu,masume,0,musume,sume,1
ceyu,mazeyu,muceyu,muzeyu,maceyu,4,4,6.38275571099075,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,3,2019-05-23,15,30,54,30,filler,ma,maceyu,1,maceyu,ceyu,1
zawo,muzawo,macawo,mucawo,mazawo,4,2,10.06429494600161,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,4,2019-05-23,15,30,54,30,filler,ma,macawo,1,mazawo,zawo,0
gecu,mahecu,mugecu,muhecu,magecu,1,4,4.517824755996116,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,5,2019-05-23,15,30,54,30,target,ma,magecu,1,mahecu,hecu,0
caya,mucaya,muzaya,macaya,mazaya,3,3,7.780720700990059,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,6,2019-05-23,15,30,54,30,filler,ma,macaya,1,macaya,caya,1
buna,mubuna,mufuna,mabuna,mafuna,2,4,7.300340335001238,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,7,2019-05-23,15,30,54,30,target,mu,mafuna,0,mufuna,funa,1
yecu,muyecu,malecu,mulecu,mayecu,4,4,6.982421332999365,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,8,2019-05-23,15,30,54,30,filler,ma,mayecu,1,mayecu,yecu,1
gaya,mahaya,magaya,mugaya,muhaya,1,2,3.152808238999569,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,9,2019-05-23,15,30,54,30,target,ma,magaya,1,mahaya,haya,0
dewo,musewo,madewo,masewo,mudewo,3,3,8.725504703004844,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,10,2019-05-23,15,30,54,30,target,ma,masewo,1,masewo,sewo,1
gamo,mahamo,mugamo,magamo,muhamo,1,3,3.285025653996854,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,11,2019-05-23,15,30,54,30,target,ma,magamo,1,mahamo,hamo,0
yazu,malazu,mulazu,muyazu,mayazu,4,4,5.299323141007335,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,12,2019-05-23,15,30,54,30,filler,ma,mayazu,1,mayazu,yazu,1
buze,mafuze,mufuze,mabuze,mubuze,2,2,3.074814477004111,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,13,2019-05-23,15,30,54,30,target,mu,mufuze,1,mufuze,fuze,1
gace,mahace,magace,mugace,muhace,1,2,3.614943881999352,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,14,2019-05-23,15,30,54,30,target,ma,magace,1,mahace,hace,0
bonu,mabonu,mafonu,mubonu,mufonu,2,2,2.788913793003303,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,15,2019-05-23,15,30,54,30,target,ma,mafonu,1,mafonu,fonu,1
geye,maheye,muheye,mageye,mugeye,1,3,3.4494422679999843,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,16,2019-05-23,15,30,54,30,target,ma,mageye,1,maheye,heye,0
boze,muboze,mafoze,mufoze,maboze,2,2,4.002941120998003,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,17,2019-05-23,15,30,54,30,target,ma,mafoze,1,mafoze,foze,1
bazu,mabazu,mafazu,mufazu,mubazu,2,2,2.4349137079989305,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,18,2019-05-23,15,30,54,30,target,ma,mafazu,1,mafazu,fazu,1
galu,mahalu,muhalu,magalu,mugalu,1,3,3.1858743089978816,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,19,2019-05-23,15,30,54,30,target,ma,magalu,1,mahalu,halu,0
liya,muyiya,muliya,maliya,mayiya,3,3,2.6352297510020435,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,20,2019-05-23,15,30,54,30,filler,ma,maliya,1,maliya,liya,1
buma,mafuma,mufuma,mabuma,mubuma,2,2,3.6884103360062,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,21,2019-05-23,15,30,54,30,target,mu,mufuma,1,mufuma,fuma,1
bayu,mubayu,mafayu,mufayu,mabayu,2,2,4.266774970004917,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,22,2019-05-23,15,30,54,30,target,ma,mafayu,1,mafayu,fayu,1
leya,muleya,mayeya,maleya,muyeya,3,3,3.9350173090060707,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,23,2019-05-23,15,30,54,30,filler,ma,maleya,1,maleya,leya,1
dezu,musezu,madezu,masezu,musezu,3,3,5.921627699004603,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,24,2019-05-23,15,30,54,30,target,ma,masezu,1,masezu,sezu,1
zuyu,mazuyu,mucuyu,macuyu,muzuyu,4,2,4.029562399009592,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,25,2019-05-23,15,30,54,30,filler,mu,mucuyu,1,muzuyu,zuyu,0
dule,masule,madule,musule,mudule,3,3,4.088645431998884,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,26,2019-05-23,15,30,54,30,target,mu,musule,1,musule,sule,1
bome,mubome,mafome,mufome,mubayu,2,2,1.6679391729994677,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,27,2019-05-23,15,30,54,30,target,ma,mafome,1,mafome,fome,1
geza,maheza,muheza,mugeza,mageza,1,4,3.2045574280055007,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,28,2019-05-23,15,30,54,30,target,ma,mageza,1,maheza,heza,0
gumo,mugumo,muhumo,mahumo,mahumo,2,1,2.6320103330072016,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,29,2019-05-23,15,30,54,30,target,mu,mugumo,1,muhumo,humo,0
demi,mudemi,musemi,masemi,mademi,3,3,3.5059925350069534,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,30,2019-05-23,15,30,54,30,target,ma,masemi,1,masemi,semi,1
zewo,macewo,muzewo,mucewo,mazewo,4,1,2.646161684009712,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,31,2019-05-23,15,30,54,30,filler,ma,macewo,1,mazewo,zewo,0
deyu,mudeyu,museyu,maseyu,madeyu,3,3,3.2382684750045883,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,32,2019-05-23,15,30,54,30,target,ma,maseyu,1,maseyu,seyu,1
yuwo,mayuwo,maluwo,muluwo,muyuwo,4,4,3.376025456993375,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,33,2019-05-23,15,30,54,30,filler,mu,muyuwo,1,muyuwo,yuwo,1
guce,muhuce,mahuce,muguce,maguce,1,3,2.7681744689907646,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,34,2019-05-23,15,30,54,30,target,mu,muguce,1,muhuce,huce,0
cuya,muzuya,macuya,mazuya,mucuya,4,4,2.701656199002173,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,35,2019-05-23,15,30,54,30,filler,mu,mucuya,1,mucuya,cuya,1
luwo,mayuwo,muyuwo,muluwo,maluwo,3,4,3.2340572190005332,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,36,2019-05-23,15,30,54,30,filler,mu,maluwo,0,muluwo,luwo,1
guwu,mahuwu,muhuwu,maguwu,muguwu,2,3,2.8675608480116352,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,37,2019-05-23,15,30,54,30,target,mu,maguwu,0,muhuwu,huwu,0
duwa,maduwa,muduwa,musuwa,masuwa,3,3,5.701662203995511,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,38,2019-05-23,15,30,54,30,target,mu,musuwa,1,musuwa,suwa,1
gazu,mahazu,mugazu,magazu,muhazu,1,3,3.906967226997949,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,39,2019-05-23,15,30,54,30,target,ma,magazu,1,mahazu,hazu,0
yani,malani,muyani,mulani,mayani,4,4,4.0155664569902,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,40,2019-05-23,15,30,54,30,filler,ma,mayani,1,mayani,yani,1
gemi,mahemi,muhemi,magemi,mugemi,1,3,3.202314224996371,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,41,2019-05-23,15,30,54,30,target,ma,magemi,1,mahemi,hemi,0
zeyu,muzeyu,muceyu,maceyu,mazeyu,4,4,4.998911303002387,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,42,2019-05-23,15,30,54,30,filler,ma,mazeyu,1,mazeyu,zeyu,1
guli,maguli,muhuli,mahuli,muguli,2,1,1.9352533330093138,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,43,2019-05-23,15,30,54,30,target,mu,maguli,0,muhuli,huli,0
gami,mahami,muhami,mugami,magami,1,4,2.8999618210073095,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,44,2019-05-23,15,30,54,30,target,ma,magami,1,mahami,hami,0
cuyu,mazuyu,muzuyu,macuyu,mucuyu,4,4,4.350909086002503,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,45,2019-05-23,15,30,54,30,filler,mu,mucuyu,1,mucuyu,cuyu,1
gume,magume,muhume,mugume,mahume,2,3,3.9672610859997803,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,46,2019-05-23,15,30,54,30,target,mu,mugume,1,muhume,hume,0
gunu,magunu,muhunu,mahunu,mugunu,2,1,2.936940085986862,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,47,2019-05-23,15,30,54,30,target,mu,magunu,0,muhunu,hunu,0
gece,mahece,mugece,muhece,magece,1,4,5.0177773679897655,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,48,2019-05-23,15,30,54,30,target,ma,magece,1,mahece,hece,0
gewu,mahewu,magewu,mugewu,muhewu,1,2,1.9862441459990805,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,49,2019-05-23,15,30,54,30,target,ma,magewu,1,mahewu,hewu,0
lawo,muyawo,mayawo,malawo,mulawo,3,3,3.084160067010089,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,50,2019-05-23,15,30,54,30,filler,ma,malawo,1,malawo,lawo,1
ceya,mazeya,muzeya,muceya,maceya,4,4,4.135316681000404,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,51,2019-05-23,15,30,54,30,filler,ma,maceya,1,maceya,ceya,1
dewa,mufawa,mudewa,mafawa,madewa,3,4,4.984776047989726,0,nat_prod,Natural production_2019_May_23_1530.csv,1,1,52,2019-05-23,15,30,54,30,target,ma,madewa,1,mafawa,fawa,0
baca,mubaca,mafaca,mufaca,mabaca,2,2,2.7011865749955177,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,53,2019-05-23,15,30,54,30,target,ma,mafaca,1,mafaca,faca,1
dumu,mudumu,madumu,musumu,masumu,3,3,4.8020374970074045,1,nat_prod,Natural production_2019_May_23_1530.csv,1,1,54,2019-05-23,15,30,54,30,target,mu,musumu,1,musumu,sumu,1
dule,masule,madule,musule,mudule,3,2,11.931395267999505,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,1,2019-05-27,13,10,54,49,target,mu,madule,0,musule,sule,0
gace,mahace,magace,mugace,muhace,1,2,5.623164819999147,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,2,2019-05-27,13,10,54,49,target,ma,magace,1,mahace,hace,0
leya,muleya,mayeya,maleya,muyeya,3,3,5.334544340999855,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,3,2019-05-27,13,10,54,49,filler,ma,maleya,1,maleya,leya,1
gece,mahece,mugece,muhece,magece,1,1,7.617754398000216,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,4,2019-05-27,13,10,54,49,target,ma,mahece,1,mahece,hece,1
dumu,mudumu,madumu,musumu,masumu,3,2,6.361165329999494,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,5,2019-05-27,13,10,54,49,target,mu,madumu,0,musumu,sumu,0
galu,mahalu,muhalu,magalu,mugalu,1,3,5.101170356999319,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,6,2019-05-27,13,10,54,49,target,ma,magalu,1,mahalu,halu,0
yani,malani,muyani,mulani,mayani,4,4,8.265308886999264,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,7,2019-05-27,13,10,54,49,filler,ma,mayani,1,mayani,yani,1
liya,muyiya,muliya,maliya,mayiya,3,3,1.8549503249996633,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,8,2019-05-27,13,10,54,49,filler,ma,maliya,1,maliya,liya,1
ceya,mazeya,muzeya,muceya,maceya,4,3,3.0508287540005767,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,9,2019-05-27,13,10,54,49,filler,ma,muceya,0,maceya,ceya,1
dewo,musewo,madewo,masewo,mudewo,3,2,2.123617336999814,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,10,2019-05-27,13,10,54,49,target,ma,madewo,1,masewo,sewo,0
gamo,mahamo,mugamo,magamo,muhamo,1,3,2.9847650370002157,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,11,2019-05-27,13,10,54,49,target,ma,magamo,1,mahamo,hamo,0
gami,mahami,muhami,mugami,magami,1,3,4.468770985999981,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,12,2019-05-27,13,10,54,49,target,ma,mugami,0,mahami,hami,0
yuwo,mayuwo,maluwo,muluwo,muyuwo,4,2,5.500128702999973,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,13,2019-05-27,13,10,54,49,filler,mu,maluwo,0,muyuwo,yuwo,0
guwu,mahuwu,muhuwu,maguwu,muguwu,2,3,2.6707335170003716,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,14,2019-05-27,13,10,54,49,target,mu,maguwu,0,muhuwu,huwu,0
duwa,maduwa,muduwa,musuwa,masuwa,3,1,2.068642842000372,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,15,2019-05-27,13,10,54,49,target,mu,maduwa,0,musuwa,suwa,0
cuyu,mazuyu,muzuyu,macuyu,mucuyu,4,2,4.234066906999942,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,16,2019-05-27,13,10,54,49,filler,mu,muzuyu,1,mucuyu,cuyu,0
deyu,mudeyu,museyu,maseyu,madeyu,3,4,3.150883213999805,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,17,2019-05-27,13,10,54,49,target,ma,madeyu,1,maseyu,seyu,0
gemi,mahemi,muhemi,magemi,mugemi,1,3,1.4522107230004622,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,18,2019-05-27,13,10,54,49,target,ma,magemi,1,mahemi,hemi,0
zewo,macewo,muzewo,mucewo,mazewo,4,4,2.918189445999815,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,19,2019-05-27,13,10,54,49,filler,ma,mazewo,1,mazewo,zewo,1
zeyu,muzeyu,muceyu,maceyu,mazeyu,4,4,1.8933325419993707,1,nat_prod,Natural production_2019_May_27_1310.csv,1,1,20,2019-05-27,13,10,54,49,filler,ma,mazeyu,1,mazeyu,zeyu,1
zuyu,mazuyu,mucuyu,macuyu,muzuyu,4,1,4.1052340700007335,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,21,2019-05-27,13,10,54,49,filler,mu,mazuyu,0,muzuyu,zuyu,1
bonu,mabonu,mafonu,mubonu,mufonu,2,4,3.7336476950004,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,22,2019-05-27,13,10,54,49,target,ma,mufonu,0,mafonu,fonu,1
bazu,mabazu,mafazu,mufazu,mubazu,2,4,1.8031018869996842,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,23,2019-05-27,13,10,54,49,target,ma,mubazu,0,mafazu,fazu,0
gaya,mahaya,magaya,mugaya,muhaya,1,2,4.831840613999702,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,24,2019-05-27,13,10,54,49,target,ma,magaya,1,mahaya,haya,0
gecu,mahecu,mugecu,muhecu,magecu,1,4,3.8559130490002644,0,nat_prod,Natural production_2019_May_27_1310.csv,1,1,25,2019-05-27,13,10,54,49,target,ma,magecu,1,mahecu,hecu,0
